Index	Theta1
170	-17.9998
185	17.9998
200	-90.0000
215	-54.0000
230	-162.0002
245	-126.0000
260	126.0000
275	162.0002
290	54.0000
305	90.0000
1016	22.3043
1025	26.7721
1035	31.3558
1046	35.9998
1058	40.6438
1071	45.2275
1085	49.6954
1121	94.3045
1130	98.7724
1140	103.3560
1151	107.9999
1163	112.6439
1176	117.2276
1190	121.6954
1226	166.3047
1235	170.7725
1245	175.3561
1331	-121.6955
1400	-94.3046
1534	58.3046
1535	62.7724
1536	67.3561
1537	72.0000
1538	76.6439
1539	81.2276
1540	85.6954
1639	130.3046
1640	134.7724
1641	139.3562
1642	144.0001
1643	148.6441
1644	153.2278
1645	157.6957
1744	-157.6957
1745	-153.2278
1746	-148.6441
1747	-144.0002
1748	-139.3562
1749	-134.7724
1750	-130.3046
1849	-85.6954
1850	-81.2276
1851	-76.6439
1852	-72.0000
1853	-67.3560
1854	-62.7723
1855	-58.3045
1954	-13.6953
1955	-9.2275
1956	-4.6439
1957	0.0000
1958	4.6439
1959	9.2275
1960	13.6953
